Threads,1,2,3,4,5,Average
1,4.28,4.28,4.26,4.27,4.27,4.27
2,2.18,2.18,2.18,2.19,2.18,2.18
4,1.11,1.13,1.11,1.11,1.11,1.11
8,0.97,0.98,0.98,1.02,1.00,0.99
16,0.76,0.77,0.77,0.76,0.75,0.76
32,0.71,0.70,0.70,0.70,0.71,0.71
64,0.70,0.70,0.70,0.70,0.70,0.70
128,0.70,0.70,0.70,0.70,0.70,0.70
